央视频道,#genre#

CCTV1,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV13,rtmp://live-play.cctvnews.cctv.com/cctv/merge_cctv13



CCTV1,http://123.14.86.181:8888/hls/1/index.m3u8
CCTV2,http://123.14.86.181:8888/hls/2/index.m3u8
CCTV3,http://123.14.86.181:8888/hls/3/index.m3u8
CCTV4,http://123.14.86.181:8888/hls/4/index.m3u8
CCTV5,http://123.14.86.181:8888/hls/5/index.m3u8
CCTV6,http://123.14.86.181:8888/hls/6/index.m3u8
CCTV7,http://123.14.86.181:8888/hls/7/index.m3u8
CCTV8,http://123.14.86.181:8888/hls/8/index.m3u8
CCTV9,http://123.14.86.181:8888/hls/9/index.m3u8
CCTV10,http://123.14.86.181:8888/hls/10/index.m3u8
CCTV11,http://123.14.86.181:8888/hls/11/index.m3u8
CCTV12,http://123.14.86.181:8888/hls/12/index.m3u8
CCTV13,http://123.14.86.181:8888/hls/13/index.m3u8
CCTV14,http://123.14.86.181:8888/hls/14/index.m3u8
CCTV15,http://123.14.86.181:8888/hls/15/index.m3u8
CCTV5+,http://123.14.86.181:8888/hls/16/index.m3u8


CCTV1,http://121.24.98.104:8090/hls/9/index.m3u8
CCTV2,http://121.24.98.104:8090/hls/10/index.m3u8
CCTV3,http://121.24.98.104:8090/hls/11/index.m3u8
CCTV4,http://121.24.98.104:8090/hls/12/index.m3u8
CCTV5,http://121.24.98.104:8090/hls/13/index.m3u8
CCTV5+,http://121.24.98.104:8090/hls/5/index.m3u8
CCTV6,http://121.24.98.104:8090/hls/14/index.m3u8
CCTV8,http://121.24.98.104:8090/hls/16/index.m3u8
CCTV9,http://121.24.98.104:8090/hls/17/index.m3u8
CCTV10,http://121.24.98.104:8090/hls/18/index.m3u8
CCTV11,http://121.24.98.104:8090/hls/19/index.m3u8
CCTV12,http://121.24.98.104:8090/hls/20/index.m3u8
CCTV13,http://121.24.98.104:8090/hls/21/index.m3u8
CCTV14,http://121.24.98.104:8090/hls/22/index.m3u8
CCTV15,http://121.24.98.104:8090/hls/23/index.m3u8
CCTV中学生,http://121.24.98.104:8090/hls/24/index.m3u8
CCTV17,http://121.24.98.104:8090/hls/15/index.m3u8


CCTV1,http://118.114.96.161:8889/udp/239.93.0.184:5140
CCTV2,http://118.114.96.161:8889/udp/239.93.1.23:6000
CCTV3,http://118.114.96.161:8889/udp/239.93.1.11:2223
CCTV4,http://118.114.96.161:8889/udp/239.93.1.105:5140
CCTV5,http://118.114.96.161:8889/udp/239.93.42.37:5140
CCTV5＋,http://118.114.96.161:8889/udp/239.93.1.36:8004
CCTV6,http://118.114.96.161:8889/udp/239.93.1.13:2226
CCTV7,http://118.114.96.161:8889/udp/239.93.1.67:5140
CCTV8,http://118.114.96.161:8889/udp/239.93.42.39:5140
CCTV9,http://118.114.96.161:8889/udp/239.93.1.24:5140
CCTV10,http://118.114.96.161:8889/udp/239.93.1.28:5140
CCTV11,http://118.114.96.161:8889/udp/239.93.0.102:5140
CCTV12,http://118.114.96.161:8889/udp/239.93.1.30:8124
CCTV13,http://118.114.96.161:8889/udp/239.93.0.66:5140
CCTV少儿,http://118.114.96.161:8889/udp/239.93.1.29:6000
CCTV15,http://118.114.96.161:8889/udp/239.93.0.103:5140
CCTV17,http://118.114.96.161:8889/udp/239.93.0.92:5140





CCTV1,http://cyz32.livehbindex.hbcatv.cn/live/50000020935c4d59965a1cbf159c9be9.m3u8?bitrate=2300&pt=5
CCTV1,http://cyz32.livehbindex.hbcatv.cn/live/50000020935c4d59965a1cbf159c9be9.m3u8?bitrate=2300&pt=5
CCTV13,http://cyz32.livehbindex.hbcatv.cn/live/5000002081f5478882f00a0f9be4b01f.m3u8?bitrate=2300&pt=5
CCTV14,http://cyz32.livehbindex.hbcatv.cn/live/8a22035194884b1eb5515aac434c313c.m3u8?bitrate=2300&pt=5
CCTV5+,http://cyz32.livehbindex.hbcatv.cn/live/50000020484943edba96ac9f93f858ce.m3u8?bitrate=2300&pt=5
CCTV10,http://cyz32.livehbindex.hbcatv.cn/live/a66832f3323643189c3a0e91f9fad3e3.m3u8?bitrate=2300&pt=5
CCTV11,http://cyz32.livehbindex.hbcatv.cn/live/5000002086444f0886ad7032ad8f756b.m3u8?bitrate=2300&pt=5
CCTV12,http://cyz32.livehbindex.hbcatv.cn/live/fbe7688bc539461da71ff649e4ba1d75.m3u8?bitrate=2300&pt=5
CCTV16,http://cyz32.livehbindex.hbcatv.cn/live/50000020c65d4a6b9b4e278405124734.m3u8?bitrate=2300&pt=5
CCTV17,http://cyz32.livehbindex.hbcatv.cn/live/500000208b8d41c4b436ef32428c229d.m3u8?bitrate=2300&pt=5
CCTV7,http://cyz32.livehbindex.hbcatv.cn/live/500000204daa45af99b5800a528fac21.m3u8?bitrate=2300&pt=5
CCTV2,http://cyz32.livehbindex.hbcatv.cn/live/50000020d7ae404dbd55b5d0ba6fe735.m3u8?bitrate=2300&pt=5
